abs_azimuth,transmission
0.0,0.001
0.1,0.001
0.2,0.001
0.30000000000000004,0.001
0.4,0.001
0.5,0.001
0.6000000000000001,0.001
0.7000000000000001,0.001
0.8,0.001
0.9,0.001
1.0,0.001
1.1,0.001
1.2000000000000002,0.001
1.3,0.001
1.4000000000000001,0.001
1.5,0.001
1.6,0.001
1.7000000000000002,0.001
1.8,0.001
1.9000000000000001,0.001
2.0,0.001
2.1,0.001
2.2,0.001
2.3000000000000003,0.001
2.4000000000000004,0.001
2.5,0.001
2.6,0.001
2.7,0.001
2.8000000000000003,0.001
2.9000000000000004,0.001
3.0,0.001
3.1,0.001
3.2,0.001
3.3000000000000003,0.001
3.4000000000000004,0.001
3.5,0.001
3.6,0.001
3.7,0.001
3.8000000000000003,0.001
3.9000000000000004,0.001
4.0,0.001
4.1000000000000005,0.001
4.2,0.001
4.3,0.001
4.4,0.001
4.5,0.001
4.6000000000000005,0.001
4.7,0.001
4.800000000000001,0.001
4.9,0.001
5.0,0.001
5.1000000000000005,0.001
5.2,0.001
5.300000000000001,0.001
5.4,0.001
5.5,0.001
5.6000000000000005,0.001
5.7,0.001
5.800000000000001,0.001
5.9,0.001
6.0,0.001
6.1000000000000005,0.001
6.2,0.001
6.300000000000001,0.001
6.4,0.001
6.5,0.001
6.6000000000000005,0.001
6.7,0.001
6.800000000000001,0.001
6.9,0.001
7.0,0.001
7.1000000000000005,0.001
7.2,0.001
7.300000000000001,0.001
7.4,0.001
7.5,0.001
7.6000000000000005,0.001
7.7,0.001
7.800000000000001,0.001
7.9,0.001
8.0,0.001
8.1,0.001
8.200000000000001,0.001
8.3,0.001
8.4,0.001
8.5,0.001
8.6,0.001
8.700000000000001,0.001
8.8,0.001
8.9,0.001
9.0,0.001
9.1,0.0009998347107438017
9.200000000000001,0.0009993388429752066
9.3,0.0009985123966942148
9.4,0.0009973553719008264
9.5,0.0009958677685950415
9.600000000000001,0.0009940495867768596
9.700000000000001,0.000991900826446281
9.8,0.0009894214876033057
9.9,0.0009866115702479338
10.0,0.0009834710743801653
10.100000000000001,0.00098
10.200000000000001,0.000976198347107438
10.3,0.0009720661157024793
10.4,0.000967603305785124
10.5,0.0009628099173553719
10.600000000000001,0.0009576859504132231
10.700000000000001,0.0009522314049586777
10.8,0.0009464462809917356
10.9,0.0009403305785123967
11.0,0.0009338842975206612
11.100000000000001,0.0009271074380165289
11.200000000000001,0.0009199999999999999
11.3,0.0009125619834710743
11.4,0.000904793388429752
11.5,0.000896694214876033
11.600000000000001,0.0008882644628099173
11.700000000000001,0.0008795041322314049
11.8,0.0008704132231404958
11.9,0.0008609917355371902
12.0,0.0008512396694214877
12.100000000000001,0.0008411570247933883
12.200000000000001,0.0008307438016528924
12.3,0.00082
12.4,0.0008089256198347107
12.5,0.0007975206611570248
12.600000000000001,0.0007857851239669421
12.700000000000001,0.0007737190082644628
12.8,0.0007613223140495867
12.9,0.0007485950413223141
